trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
314-Summer,08:10:00,08:10:00,5E1E78E6CA654F5AA0E2FE485DA71495,4,,,,24123
314-Summer,08:22:00,08:22:00,34EA179D31FE4CA5A9A5A42D9CCE8156,5,,,,41845
314-Summer,08:31:00,08:31:00,BD92F07447C74C9DA620D889725EF244,6,,,,53226
314-Summer,08:38:00,08:38:00,7113724B905946399163A4CB5AAB66A1,7,,,,58568
314-Summer,08:45:00,08:45:00,86470B019FB24F4E9102A97F07848105,8,,,,65869
314-Summer,08:53:00,08:53:00,B0B4F69638D547C988E9A71DB08D3BBC,9,,,,73291
314-Summer,09:05:00,09:05:00,60ADB9309B084464BBCC2C1ABCD908E8,10,,,,85392
314-Summer,09:14:00,09:14:00,8E0AECA660E44BA39BDF374FF1D09F96,11,,,,91926
314-Summer,09:22:00,09:22:00,BC30329248DF4E6E8A114C0822124408,12,,,,96031
314-Summer,09:30:00,09:30:00,C9C9EEB6CE1A46C3BD0901F3F225933E,13,,,,98955
315-Summer,18:50:00,18:50:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
315-Summer,18:58:00,18:58:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
315-Summer,19:05:00,19:05:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7029
315-Summer,19:13:00,19:13:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13563
315-Summer,19:24:00,19:24:00,B0B4F69638D547C988E9A71DB08D3BBC,5,,,,25664
315-Summer,19:31:00,19:31:00,86470B019FB24F4E9102A97F07848105,6,,,,33086
315-Summer,19:39:00,19:39:00,7113724B905946399163A4CB5AAB66A1,7,,,,40387
315-Summer,19:45:00,19:45:00,BD92F07447C74C9DA620D889725EF244,8,,,,45729
315-Summer,19:55:00,19:55:00,34EA179D31FE4CA5A9A5A42D9CCE8156,9,,,,57110
315-Summer,20:09:00,20:09:00,5E1E78E6CA654F5AA0E2FE485DA71495,10,,,,74832
315-Summer,20:18:00,20:18:00,E67A53B0B9AB4E619C21D7C16C034501,11,,,,82279
315-Summer,20:26:00,20:26:00,62E201E23B5148898D8B3B73B9395B4B,12,,,,88915
315-Summer,20:37:00,20:37:00,078CADB54DE04AA996C133AEDEE8BB5F,13,,,,98955
321-Summer,06:35:00,06:35:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
321-Summer,06:52:00,06:52:00,1E66EEF0911344ACB3B67E230A99DB81,2,,,,13638
321-Summer,07:37:00,07:37:00,64C983C0E74E491488B298F46879C65A,3,,,,53632
321-Summer,07:47:00,07:47:00,1555D7C62D784D6B9F2AD871999E0098,4,,,,59037
322-Summer,05:01:00,05:01:00,1555D7C62D784D6B9F2AD871999E0098,1,,,,0
322-Summer,05:09:00,05:09:00,64C983C0E74E491488B298F46879C65A,2,,,,5405
322-Summer,05:15:00,05:15:00,A0F9D1776F1A485A9E1A06A3C1261782,3,,,,8844
322-Summer,05:29:00,05:29:00,9500D42D80744F9499D42D654CA522E6,4,,,,23660
322-Summer,05:34:00,05:34:00,7E1B4F506A5B47B7A2C858934721BE5A,5,,,,27316
322-Summer,05:42:00,05:42:00,F94650F367DD4D28AB4648C95746AFA6,6,,,,34180
322-Summer,05:55:00,05:55:00,26C502B2E36D484DA6376618E6600DAF,7,,,,45399
322-Summer,06:04:00,06:04:00,8E0AECA660E44BA39BDF374FF1D09F96,8,,,,52017
322-Summer,06:12:00,06:12:00,BC30329248DF4E6E8A114C0822124408,9,,,,56113
322-Summer,06:20:00,06:20:00,C9C9EEB6CE1A46C3BD0901F3F225933E,10,,,,59037
324-Summer,05:21:00,05:21:00,1555D7C62D784D6B9F2AD871999E0098,1,,,,0
324-Summer,05:29:00,05:29:00,64C983C0E74E491488B298F46879C65A,2,,,,5405
324-Summer,05:35:00,05:35:00,A0F9D1776F1A485A9E1A06A3C1261782,3,,,,8844
324-Summer,05:49:00,05:49:00,9500D42D80744F9499D42D654CA522E6,4,,,,23660
324-Summer,05:54:00,05:54:00,7E1B4F506A5B47B7A2C858934721BE5A,5,,,,27316
324-Summer,06:02:00,06:02:00,F94650F367DD4D28AB4648C95746AFA6,6,,,,34180
324-Summer,06:15:00,06:15:00,26C502B2E36D484DA6376618E6600DAF,7,,,,45399
324-Summer,06:24:00,06:24:00,8E0AECA660E44BA39BDF374FF1D09F96,8,,,,52017
324-Summer,06:32:00,06:32:00,BC30329248DF4E6E8A114C0822124408,9,,,,56113
324-Summer,06:40:00,06:40:00,C9C9EEB6CE1A46C3BD0901F3F225933E,10,,,,59037
325-Summer,13:15:00,13:15:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
325-Summer,13:23:00,13:23:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
325-Summer,13:30:00,13:30:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7020
325-Summer,13:38:00,13:38:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13638
325-Summer,13:49:00,13:49:00,F94650F367DD4D28AB4648C95746AFA6,5,,,,24857
325-Summer,13:57:00,13:57:00,7E1B4F506A5B47B7A2C858934721BE5A,6,,,,31721
325-Summer,14:03:00,14:03:00,9500D42D80744F9499D42D654CA522E6,7,,,,35377
325-Summer,14:17:00,14:17:00,A0F9D1776F1A485A9E1A06A3C1261782,8,,,,50193
325-Summer,14:24:00,14:24:00,64C983C0E74E491488B298F46879C65A,9,,,,53632
325-Summer,14:34:00,14:34:00,1555D7C62D784D6B9F2AD871999E0098,10,,,,59037
326-Summer,05:56:00,05:56:00,1555D7C62D784D6B9F2AD871999E0098,1,,,,0
326-Summer,06:04:00,06:04:00,64C983C0E74E491488B298F46879C65A,2,,,,5405
326-Summer,06:10:00,06:10:00,A0F9D1776F1A485A9E1A06A3C1261782,3,,,,8844
326-Summer,06:24:00,06:24:00,9500D42D80744F9499D42D654CA522E6,4,,,,23660
326-Summer,06:29:00,06:29:00,7E1B4F506A5B47B7A2C858934721BE5A,5,,,,27316
326-Summer,06:37:00,06:37:00,F94650F367DD4D28AB4648C95746AFA6,6,,,,34180
326-Summer,06:50:00,06:50:00,26C502B2E36D484DA6376618E6600DAF,7,,,,45399
326-Summer,06:59:00,06:59:00,8E0AECA660E44BA39BDF374FF1D09F96,8,,,,52017
326-Summer,07:07:00,07:07:00,BC30329248DF4E6E8A114C0822124408,9,,,,56113
326-Summer,07:15:00,07:15:00,C9C9EEB6CE1A46C3BD0901F3F225933E,10,,,,59037
327-Summer,15:20:00,15:20:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
