,stop_name,6313 (Barrie),6314 (Barrie),6315 (Barrie),6316 (Barrie),6317 (Barrie),6318 (Barrie),6322 (Barrie),6329 (Barrie),6331 (Barrie),6332 (Barrie),6333 (Barrie),6334 (Barrie),6504 (Barrie),6521 (Barrie),6606 (Barrie),6608 (Barrie),6627 (Barrie),6727 (Barrie),6806 (Barrie),6808 (Barrie),6825 (Barrie),6908 (Barrie),6910 (Barrie),6911 (Barrie),6912 (Barrie),6919 (Barrie),6920 (Barrie),6923 (Barrie),6927 (Barrie),6935 (Barrie),6936 (Barrie),6937 (Barrie),3009 (Kitchener),3011 (Kitchener),3015 (Kitchener),3017 (Kitchener),3019 (Kitchener),3021 (Kitchener),3023 (Kitchener),3025 (Kitchener),3031 (Kitchener),3033 (Kitchener),3035 (Kitchener),3037 (Kitchener),3108 (Kitchener),3110 (Kitchener),3126 (Kitchener),3128 (Kitchener),3205 (Kitchener),3207 (Kitchener),3209 (Kitchener),3227 (Kitchener),3308 (Kitchener),3310 (Kitchener),3312 (Kitchener),3316 (Kitchener),3318 (Kitchener),3320 (Kitchener),3322 (Kitchener),3328 (Kitchener),3332 (Kitchener),3334 (Kitchener),3336 (Kitchener),3338 (Kitchener),3414 (Kitchener),3416 (Kitchener),3420 (Kitchener),3422 (Kitchener),3432 (Kitchener),3434 (Kitchener),3513 (Kitchener),3515 (Kitchener),3519 (Kitchener),3521 (Kitchener),3529 (Kitchener),3531 (Kitchener),3533 (Kitchener),3539 (Kitchener),3604 (Kitchener),3606 (Kitchener),3625 (Kitchener),3627 (Kitchener),3812 (Kitchener),3818 (Kitchener),3824 (Kitchener),3829 (Kitchener),3836 (Kitchener),3858 (Kitchener),3860 (Kitchener),3875 (Kitchener),3877 (Kitchener),3904 (Kitchener),3906 (Kitchener),3911 (Kitchener),3917 (Kitchener),3923 (Kitchener),3935 (Kitchener),3937 (Kitchener),3958 (Kitchener),3960 (Kitchener),3975 (Kitchener),3977 (Kitchener),9004 (Lakeshore East),9005 (Lakeshore East),9006 (Lakeshore East),9007 (Lakeshore East),9008 (Lakeshore East),9009 (Lakeshore East),9010 (Lakeshore East),9011 (Lakeshore East),9013 (Lakeshore East),9015 (Lakeshore East),9017 (Lakeshore East),9019 (Lakeshore East),9021 (Lakeshore East),9023 (Lakeshore East),9024 (Lakeshore East),9025 (Lakeshore East),9026 (Lakeshore East),9027 (Lakeshore East),9029 (Lakeshore East),9031 (Lakeshore East),9032 (Lakeshore East),9033 (Lakeshore East),9035 (Lakeshore East),9037 (Lakeshore East),9039 (Lakeshore East),9041 (Lakeshore East),9109 (Lakeshore East),9112 (Lakeshore East),9114 (Lakeshore East),9116 (Lakeshore East),9118 (Lakeshore East),9120 (Lakeshore East),9122 (Lakeshore East),9124 (Lakeshore East),9126 (Lakeshore East),9128 (Lakeshore East),9130 (Lakeshore East),9134 (Lakeshore East),9136 (Lakeshore East),9138 (Lakeshore East),9140 (Lakeshore East),9204 (Lakeshore East),9205 (Lakeshore East),9206 (Lakeshore East),9207 (Lakeshore East),9208 (Lakeshore East),9209 (Lakeshore East),9211 (Lakeshore East),9213 (Lakeshore East),9215 (Lakeshore East),9217 (Lakeshore East),9219 (Lakeshore East),9221 (Lakeshore East),9223 (Lakeshore East),9224 (Lakeshore East),9225 (Lakeshore East),9226 (Lakeshore East),9227 (Lakeshore East),9229 (Lakeshore East),9231 (Lakeshore East),9233 (Lakeshore East),9235 (Lakeshore East),9237 (Lakeshore East),9239 (Lakeshore East),9241 (Lakeshore East),9307 (Lakeshore East),9309 (Lakeshore East),9310 (Lakeshore East),9312 (Lakeshore East),9314 (Lakeshore East),9316 (Lakeshore East),9318 (Lakeshore East),9320 (Lakeshore East),9322 (Lakeshore East),9324 (Lakeshore East),9326 (Lakeshore East),9328 (Lakeshore East),9330 (Lakeshore East),9332 (Lakeshore East),9334 (Lakeshore East),9336 (Lakeshore East),9338 (Lakeshore East),9340 (Lakeshore East),1004 (Lakeshore West),1005 (Lakeshore West),1006 (Lakeshore West),1007 (Lakeshore West),1009 (Lakeshore West),1011 (Lakeshore West),1012 (Lakeshore West),1013 (Lakeshore West),1014 (Lakeshore West),1015 (Lakeshore West),1016 (Lakeshore West),1017 (Lakeshore West),1018 (Lakeshore West),1019 (Lakeshore West),1020 (Lakeshore West),1021 (Lakeshore West),1022 (Lakeshore West),1023 (Lakeshore West),1024 (Lakeshore West),1026 (Lakeshore West),1028 (Lakeshore West),1029 (Lakeshore West),1030 (Lakeshore West),1031 (Lakeshore West),1032 (Lakeshore West),1033 (Lakeshore West),1034 (Lakeshore West),1035 (Lakeshore West),1036 (Lakeshore West),1037 (Lakeshore West),1038 (Lakeshore West),1039 (Lakeshore West),1040 (Lakeshore West),1041 (Lakeshore West),1075 (Lakeshore West),1077 (Lakeshore West),1108 (Lakeshore West),1110 (Lakeshore West),1125 (Lakeshore West),1127 (Lakeshore West),1256 (Lakeshore West),1258 (Lakeshore West),1306 (Lakeshore West),1308 (Lakeshore West),1310 (Lakeshore West),1323 (Lakeshore West),1325 (Lakeshore West),1327 (Lakeshore West),1704 (Lakeshore West),1705 (Lakeshore West),1707 (Lakeshore West),1709 (Lakeshore West),1710 (Lakeshore West),1711 (Lakeshore West),1712 (Lakeshore West),1713 (Lakeshore West),1714 (Lakeshore West),1715 (Lakeshore West),1716 (Lakeshore West),1717 (Lakeshore West),1718 (Lakeshore West),1719 (Lakeshore West),1720 (Lakeshore West),1721 (Lakeshore West),1722 (Lakeshore West),1724 (Lakeshore West),1726 (Lakeshore West),1727 (Lakeshore West),1728 (Lakeshore West),1729 (Lakeshore West),1730 (Lakeshore West),1731 (Lakeshore West),1732 (Lakeshore West),1733 (Lakeshore West),1734 (Lakeshore West),1735 (Lakeshore West),1736 (Lakeshore West),1737 (Lakeshore West),1738 (Lakeshore West),1739 (Lakeshore West),1740 (Lakeshore West),1741 (Lakeshore West),1756 (Lakeshore West),1758 (Lakeshore West),1775 (Lakeshore West),1777 (Lakeshore West),1854 (Lakeshore West),1856 (Lakeshore West),1858 (Lakeshore West),1860 (Lakeshore West),1873 (Lakeshore West),1875 (Lakeshore West),1877 (Lakeshore West),1879 (Lakeshore West),1960 (Lakeshore West),1961 (Lakeshore West),1972 (Lakeshore West),1977 (Lakeshore West),1988 (Lakeshore West),X1987 (Lakeshore West),2706 (Milton),2710 (Milton),2712 (Milton),2714 (Milton),2716 (Milton),2718 (Milton),2720 (Milton),2722 (Milton),2723 (Milton),2724 (Milton),2726 (Milton),2727 (Milton),2729 (Milton),2731 (Milton),2735 (Milton),2737 (Milton),2739 (Milton),2741 (Milton),2745 (Milton),2749 (Milton),5006 (Richmond Hill),5008 (Richmond Hill),5010 (Richmond Hill),5127 (Richmond Hill),5208 (Richmond Hill),5323 (Richmond Hill),5325 (Richmond Hill),5327 (Richmond Hill),5329 (Richmond Hill),7410 (Stouffville),7412 (Stouffville),7414 (Stouffville),7415 (Stouffville),7416 (Stouffville),7417 (Stouffville),7418 (Stouffville),7419 (Stouffville),7420 (Stouffville),7421 (Stouffville),7423 (Stouffville),7425 (Stouffville),7428 (Stouffville),7430 (Stouffville),7432 (Stouffville),7433 (Stouffville),7434 (Stouffville),7435 (Stouffville),7436 (Stouffville),7437 (Stouffville),7439 (Stouffville),7622 (Stouffville),7624 (Stouffville),7626 (Stouffville),7638 (Stouffville),7640 (Stouffville),7705 (Stouffville),7707 (Stouffville),7709 (Stouffville),7711 (Stouffville),7713 (Stouffville),7824 (Stouffville),7826 (Stouffville),7907 (Stouffville),7909 (Stouffville)
39,Gormley GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:01:00 (4),07:01:00 (4),08:01:00 (4),18:14:00 (26),07:31:00 (4),16:44:00 (26),17:44:00 (26),18:44:00 (26),19:44:00 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Guelph Central GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00:00 (7),12:03:00 (7),15:03:00 (7),19:32:00 (35),21:03:00 (7),06:54:00 (7),07:54:00 (7),17:40:00 (35),18:40:00 (35),05:30:00 (7),06:30:00 (7),11:01:00 (35),14:02:00 (35),17:03:00 (35),23:02:00 (35),24:01:00 (35),07:24:00 (7),08:24:00 (7),18:10:00 (35),19:14:00 (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Georgetown GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:30:00 (1),06:30:00 (1),17:36:00 (29),18:06:00 (29),09:29:00 (13),12:32:00 (13),15:32:00 (13),19:04:00 (29),21:32:00 (13),07:23:00 (13),08:23:00 (13),17:11:00 (29),18:11:00 (29),06:00:00 (13),07:00:00 (13),10:33:00 (29),13:34:00 (29),16:34:00 (29),22:34:00 (29),23:34:00 (29),07:53:00 (13),08:53:00 (13),17:41:00 (29),18:45:00 (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Exhibition GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:51:00 (28),06:19:00 (7),06:51:00 (28),07:24:00 (7),08:24:00 (7),09:24:00 (7),10:06:00 (28),10:24:00 (7),11:06:00 (28),11:24:00 (7),12:06:00 (28),12:24:00 (7),13:06:00 (28),13:24:00 (7),14:06:00 (28),14:24:00 (7),15:06:00 (28),15:24:00 (7),16:06:00 (28),17:06:00 (28),18:06:00 (28),18:25:00 (7),19:06:00 (28),19:25:00 (7),20:06:00 (28),20:25:00 (7),21:06:00 (28),21:25:00 (7),22:06:00 (28),22:25:00 (7),23:06:00 (28),23:25:00 (7),24:06:00 (28),24:25:00 (7),,,07:55:00 (16),08:55:00 (16),16:13:00 (7),17:13:00 (7),,,07:25:00 (16),08:25:00 (16),09:11:00 (16),15:43:00 (7),16:43:00 (7),17:43:00 (7),06:21:00 (35),06:49:00 (7),07:54:00 (7),08:54:00 (7),09:36:00 (35),09:54:00 (7),10:36:00 (35),10:54:00 (7),11:36:00 (35),11:54:00 (7),12:36:00 (35),12:54:00 (7),13:36:00 (35),13:54:00 (7),14:36:00 (35),14:54:00 (7),15:36:00 (35),16:36:00 (35),17:36:00 (35),17:55:00 (7),18:36:00 (35),18:55:00 (7),19:36:00 (35),19:55:00 (7),20:36:00 (35),20:55:00 (7),21:36:00 (35),21:55:00 (7),22:36:00 (35),22:55:00 (7),23:36:00 (35),23:55:00 (7),24:37:00 (35),24:55:00 (7),,,,,,,,,,,,,,09:18:00 (7),15:18:00 (51),,23:19:00 (51),22:30:00 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Etobicoke North GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:26:00 (13),,,,,08:06:00 (6),09:06:00 (6),,,,,,,08:36:00 (6),09:36:00 (6),10:36:00 (6),12:36:00 (6),13:36:00 (6),14:36:00 (6),15:36:00 (6),,20:36:00 (6),21:36:00 (6),22:36:00 (6),23:36:00 (6),11:06:00 (12),,,,,,10:55:00 (13),11:56:00 (13),13:56:00 (13),14:56:00 (13),18:56:00 (13),19:56:00 (13),20:56:00 (13),23:56:00 (13),06:06:00 (17),07:06:00 (17),16:56:00 (13),17:26:00 (13),10:05:00 (29),,,18:26:00 (13),,,,,,06:36:00 (29),07:36:00 (29),09:55:00 (13),12:56:00 (13),15:56:00 (13),21:56:00 (13),22:56:00 (13),,,,18:08:00 (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Erindale GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25:00 (13),06:55:00 (13),07:10:00 (13),07:25:00 (13),07:40:00 (13),07:55:00 (13),08:10:00 (13),08:25:00 (13),16:15:00 (23),08:40:00 (13),08:55:00 (13),16:45:00 (23),17:00:00 (23),17:15:00 (23),17:30:00 (23),17:45:00 (23),18:00:00 (23),18:30:00 (23),19:00:00 (23),19:45:00 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Eglinton GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:28:00 (13),05:43:00 (16),07:28:00 (13),06:48:00 (16),08:32:00 (13),07:48:00 (16),09:28:00 (13),08:48:00 (16),09:48:00 (16),10:48:00 (16),11:48:00 (16),12:48:00 (16),13:48:00 (16),14:48:00 (16),16:28:00 (13),15:48:00 (16),17:28:00 (13),16:48:00 (16),17:48:00 (16),18:48:00 (16),20:43:00 (13),19:48:00 (16),20:48:00 (16),21:48:00 (16),22:48:00 (16),23:48:00 (16),08:03:00 (16),10:43:00 (13),11:43:00 (13),12:43:00 (13),13:43:00 (13),14:43:00 (13),15:43:00 (13),16:43:00 (13),17:43:00 (13),18:43:00 (13),19:43:00 (13),21:43:00 (13),22:43:00 (13),23:43:00 (13),24:43:00 (13),06:58:00 (13),06:13:00 (16),08:02:00 (13),07:18:00 (16),09:02:00 (13),08:18:00 (16),09:18:00 (16),10:18:00 (16),11:18:00 (16),12:18:00 (16),13:18:00 (16),14:18:00 (16),15:18:00 (16),16:58:00 (13),16:18:00 (16),17:58:00 (13),17:18:00 (16),18:18:00 (16),19:18:00 (16),20:18:00 (16),21:18:00 (16),22:18:00 (16),23:18:00 (16),24:17:00 (16),07:33:00 (16),08:33:00 (16),10:13:00 (13),11:13:00 (13),12:13:00 (13),13:13:00 (13),14:13:00 (13),15:13:00 (13),16:13:00 (13),17:13:00 (13),18:13:00 (13),19:13:00 (13),20:13:00 (13),21:13:00 (13),22:13:00 (13),23:13:00 (13),24:13:00 (13),25:16:00 (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,East Gwillimbury GO,,,,,,,,,,,,,05:29:00 (3),16:06:00 (26),05:57:00 (10),06:57:00 (10),18:15:00 (26),18:30:00 (26),06:27:00 (10),07:27:00 (10),17:45:00 (26),07:42:00 (10),08:42:00 (10),10:56:00 (26),09:42:00 (10),15:03:00 (26),13:48:00 (10),17:00:00 (26),19:00:00 (26),23:04:00 (26),21:50:00 (10),23:58:00 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Downsview Park GO,11:13:00 (10),11:27:00 (13),12:13:00 (10),12:26:00 (13),13:13:00 (10),13:26:00 (13),15:35:00 (13),19:13:00 (10),20:13:00 (10),20:26:00 (13),21:13:00 (10),21:26:00 (13),06:13:00 (19),15:21:00 (10),06:43:00 (26),07:43:00 (26),17:27:00 (10),17:42:00 (10),07:13:00 (26),08:13:00 (26),16:57:00 (10),08:28:00 (26),09:28:00 (26),10:13:00 (10),10:27:00 (26),14:20:00 (10),14:32:00 (26),16:12:00 (10),18:12:00 (10),22:20:00 (10),22:32:00 (26),23:13:00 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dixie GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:36:00 (17),07:06:00 (17),07:21:00 (17),07:36:00 (17),07:51:00 (17),08:06:00 (17),08:21:00 (17),08:36:00 (17),16:03:00 (19),08:51:00 (17),09:06:00 (17),16:33:00 (19),16:48:00 (19),17:03:00 (19),17:18:00 (19),17:33:00 (19),17:48:00 (19),18:18:00 (19),18:48:00 (19),19:33:00 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Danforth GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:17:00 (10),05:53:00 (19),07:17:00 (10),06:58:00 (19),08:21:00 (10),07:58:00 (19),09:17:00 (10),08:58:00 (19),09:58:00 (19),10:58:00 (19),11:58:00 (19),12:58:00 (19),13:58:00 (19),14:58:00 (19),16:17:00 (10),15:58:00 (19),17:17:00 (10),16:58:00 (19),17:58:00 (19),18:58:00 (19),20:32:00 (10),19:58:00 (19),20:58:00 (19),21:58:00 (19),22:58:00 (19),23:58:00 (19),08:13:00 (19),10:32:00 (10),11:32:00 (10),12:32:00 (10),13:32:00 (10),14:32:00 (10),15:32:00 (10),16:32:00 (10),17:32:00 (10),18:32:00 (10),19:32:00 (10),21:32:00 (10),22:32:00 (10),23:32:00 (10),24:32:00 (10),06:47:00 (10),06:23:00 (19),07:51:00 (10),07:28:00 (19),08:51:00 (10),08:28:00 (19),09:28:00 (19),10:28:00 (19),11:28:00 (19),12:28:00 (19),13:28:00 (19),14:28:00 (19),15:28:00 (19),16:47:00 (10),16:28:00 (19),17:47:00 (10),17:28:00 (19),18:28:00 (19),19:28:00 (19),20:28:00 (19),21:28:00 (19),22:28:00 (19),23:28:00 (19),24:27:00 (19),07:43:00 (19),08:43:00 (19),10:02:00 (10),11:02:00 (10),12:02:00 (10),13:02:00 (10),14:02:00 (10),15:02:00 (10),16:02:00 (10),17:02:00 (10),18:02:00 (10),19:02:00 (10),20:02:00 (10),21:02:00 (10),22:02:00 (10),23:02:00 (10),24:02:00 (10),25:05:00 (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Cooksville GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:31:00 (15),07:01:00 (15),07:16:00 (15),07:31:00 (15),07:46:00 (15),08:01:00 (15),08:16:00 (15),08:31:00 (15),16:09:00 (21),08:46:00 (15),09:01:00 (15),16:39:00 (21),16:54:00 (21),17:09:00 (21),17:24:00 (21),17:39:00 (21),17:54:00 (21),18:24:00 (21),18:54:00 (21),19:39:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Clarkson GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:24:00 (17),06:45:00 (18),06:24:00 (17),07:51:00 (18),08:51:00 (18),09:52:00 (18),09:38:00 (17),10:52:00 (18),10:38:00 (17),11:52:00 (18),11:38:00 (17),12:52:00 (18),12:38:00 (17),13:52:00 (18),13:38:00 (17),14:52:00 (18),14:38:00 (17),15:52:00 (18),15:38:00 (17),16:39:00 (17),17:39:00 (17),18:53:00 (18),18:37:00 (17),19:53:00 (18),19:37:00 (17),20:53:00 (18),20:37:00 (17),21:53:00 (18),21:37:00 (17),22:53:00 (18),22:37:00 (17),23:53:00 (18),23:37:00 (17),24:53:00 (18),16:54:00 (18),17:54:00 (18),07:28:00 (5),08:28:00 (5),16:40:00 (18),17:40:00 (18),07:21:00 (17),08:21:00 (17),06:58:00 (5),07:58:00 (5),08:44:00 (5),16:10:00 (18),17:10:00 (18),18:10:00 (18),05:54:00 (24),07:15:00 (18),08:21:00 (18),09:22:00 (18),09:08:00 (24),10:22:00 (18),10:08:00 (24),11:22:00 (18),11:08:00 (24),12:22:00 (18),12:08:00 (24),13:22:00 (18),13:08:00 (24),14:22:00 (18),14:08:00 (24),15:22:00 (18),15:08:00 (24),16:09:00 (24),17:07:00 (24),18:23:00 (18),18:07:00 (24),19:23:00 (18),19:07:00 (24),20:23:00 (18),20:07:00 (24),21:23:00 (18),21:07:00 (24),22:23:00 (18),22:07:00 (24),23:23:00 (18),23:07:00 (24),24:23:00 (18),24:08:00 (24),25:24:00 (18),06:51:00 (24),07:52:00 (24),16:24:00 (18),17:24:00 (18),06:36:00 (26),07:06:00 (26),07:36:00 (26),08:06:00 (26),16:16:00 (18),16:46:00 (18),17:16:00 (18),18:16:00 (18),08:38:00 (42),,,17:46:00 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Centennial GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:57:00 (21),10:57:00 (21),11:57:00 (21),10:43:00 (4),12:57:00 (21),11:43:00 (4),13:57:00 (21),12:43:00 (4),14:57:00 (21),13:43:00 (4),14:43:00 (4),15:43:00 (4),18:57:00 (21),19:57:00 (21),20:57:00 (21),19:43:00 (4),21:57:00 (21),20:43:00 (4),22:57:00 (21),21:43:00 (4),22:43:00 (4),15:57:00 (21),16:57:00 (21),17:57:00 (21),23:57:00 (21),24:57:00 (21),05:43:00 (7),06:43:00 (7),07:43:00 (7),08:43:00 (7),09:43:00 (7),17:27:00 (21),18:27:00 (21),07:13:00 (7),08:13:00 (7)
