from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246068224606924+1123666+0,246068224606924+1123266+0,1,
33,33,,,246073124608114+1123677+0,246073124608114+1123294+0,1,
33,33,,,246072524607272+1123952+0,246072524607272+1123314+0,1,
33,33,,,246066824606722+1124109+0,246066824606712+1123324+0,1,
33,33,,,246067524606791+1124110+0,246067524606751+1123326+0,1,
33,33,,,246068224606924+1124112+0,246068224606924+1123328+0,1,
33,33,,,246071024607201+1124112+0,246070324607201+1123328+0,1,
33,33,,,246073124608114+1124112+0,246073124608114+1123328+0,1,
33,33,,,246066524606655+1124207+0,246066524606655+1123336+0,1,
33,33,,,246067524606795+1124209+0,246067924608125+1123336+0,1,
33,33,,,246068224606922+1124211+0,246068224606922+1123340+0,1,
33,33,,,246069724606992+1124211+0,246069724606992+1123340+0,1,
33,33,,,246069724606994+1124211+0,246069724606994+1123340+0,1,
33,33,,,246070324607202+1124212+0,246070324607202+1123340+0,1,
33,33,,,246069724606994+1124238+0,246069724607064+1123344+0,1,
33,33,,,246067024606703+1124270+0,246067024606703+1126886+0,1,
33,33,,,246067724606773+1124272+0,246067724606773+1126887+0,1,
33,33,,,246072324607237+1124275+0,246072324607237+1126890+0,1,
33,33,,,246066724606747+1124306+0,246066724606677+1126901+0,1,
33,33,,,246072324607237+1124311+0,246072324607237+1126907+0,1,
33,33,,,246073124608111+1124325+0,246073124608111+1123355+0,1,
33,33,,,246069724607062+1124326+0,246069724606992+1123355+0,1,
33,33,,,246069624606961+1124380+0,246069624606961+1126941+0,1,
33,33,,,246072424607241+1124380+0,246072424607241+1126941+0,1,
33,33,,,246070224607167+1124382+0,246070224607167+1126939+0,1,
33,33,,,246069524606957+1124383+0,246069524606957+1126940+0,1,
33,33,,,246073024608077+1124419+0,246073024608077+1123924+0,1,
33,33,,,246072324607237+1124420+0,246072324607237+1123925+0,1,
33,33,,,246069624606961+1124491+0,246069624606961+1126982+0,1,
33,33,,,246066824606721+1124550+0,246066824606711+1123369+0,1,
