"service_id","date","exception_type"
"1A651EB6","20250709","1"
"1A651EB6","20250714","1"
"1A651EB6","20250715","1"
"1A651EB6","20250716","1"
"1A651EB6","20250721","1"
"1A651EB6","20250722","1"
"1A651EB6","20250723","1"
"1A651EB6","20250728","1"
"1A651EB6","20250729","1"
"1A651EB6","20250730","1"
"1A651EB6","20250804","1"
"1A651EB6","20250805","1"
"1A651EB6","20250806","1"
"1A651EB6","20250811","1"
"1A651EB6","20250812","1"
"1A651EB6","20250813","1"
"1A651EB6","20250818","1"
"1A651EB6","20250819","1"
"1A651EB6","20250820","1"
"1A651EB6","20250825","1"
"1A651EB6","20250826","1"
"1A651EB6","20250827","1"
"7C13310F","20250601","1"
"7C13310F","20250608","1"
"7C13310F","20250615","1"
"7C13310F","20250622","1"
"7C13310F","20250629","1"
"7C13310F","20250706","1"
"7C13310F","20250713","1"
"7C13310F","20250720","1"
"7C13310F","20250727","1"
"7C13310F","20250803","1"
"7C13310F","20250810","1"
"7C13310F","20250817","1"
"7C13310F","20250824","1"
"7C13310F","20250901","1"
"42175B54","20250531","1"
"42175B54","20250607","1"
"42175B54","20250614","1"
"42175B54","20250621","1"
"42175B54","20250628","1"
"42175B54","20250704","1"
"42175B54","20250712","1"
"42175B54","20250719","1"
"42175B54","20250726","1"
"42175B54","20250802","1"
"42175B54","20250809","1"
"42175B54","20250816","1"
"42175B54","20250823","1"
"42175B54","20250830","1"
"67F259AD","20250531","1"
"67F259AD","20250607","1"
"67F259AD","20250614","1"
"67F259AD","20250621","1"
"67F259AD","20250628","1"
"67F259AD","20250704","1"
"67F259AD","20250705","1"
"67F259AD","20250712","1"
"67F259AD","20250719","1"
"67F259AD","20250726","1"
"67F259AD","20250802","1"
"67F259AD","20250809","1"
"67F259AD","20250816","1"
"67F259AD","20250823","1"
"67F259AD","20250830","1"
"67F259AD","20250831","1"
"CC9E5E4E","20250530","1"
"CC9E5E4E","20250606","1"
"CC9E5E4E","20250613","1"
"CC9E5E4E","20250620","1"
"CC9E5E4E","20250623","1"
"CC9E5E4E","20250624","1"
"CC9E5E4E","20250625","1"
"CC9E5E4E","20250626","1"
"CC9E5E4E","20250627","1"
"CC9E5E4E","20250630","1"
"CC9E5E4E","20250701","1"
"CC9E5E4E","20250702","1"
"CC9E5E4E","20250703","1"
"CC9E5E4E","20250707","1"
"CC9E5E4E","20250708","1"
"CC9E5E4E","20250709","1"
